user,duration,press_press_latency,release_press_latency,press_pressure,press_touch_major,press_touch_minor,press_x,press_y,press_x_acceleration,press_y_acceleration,press_z_acceleration,press_x_rotation,press_y_rotation,press_z_rotation,release_pressure,release_touch_major,release_touch_minor,release_x,release_y,release_x_acceleration,release_y_acceleration,release_z_acceleration,release_x_rotation,release_y_rotation,release_z_rotation
0,65.81818182,480.5,413.1,0.676136364,187.095,184.1827273,489.7272727,1418.142857,-1.117681818,6.051481818,6.672181818,0.304763636,-0.179090909,-0.642254545,0.580681818,157.9712727,157.9712727,488.1818182,1438.818182,-1.200881818,5.985572727,7.148272727,0.304836364,-0.178127273,-0.641818182
0,50.54545455,401.8,350.4,0.7,192.9200909,198.7449091,510.0909091,1425.909091,-0.875609091,3.928,7.745581818,0.213872727,-0.090590909,-0.624245455,0.642045455,172.5332727,172.5332727,512.4545455,1426.545455,-0.866045455,3.9795,8.086554545,0.212509091,-0.091663636,-0.624563636
0,48.27272727,322.9,273.9,0.686363636,192.92,190.0074545,506.2727273,1422.454545,-0.828245455,3.937636364,7.843609091,0.168709091,-0.126845455,-0.641563636,0.639772727,166.7084545,166.7084545,509.7272727,1432.545455,-0.944245455,3.934681818,8.113963636,0.167636364,-0.126790909,-0.642036364
1,93.90909091,285.5,190.5,0.609090909,175.4455455,152.1465455,525.2727273,1435.727273,-0.602390909,4.292054545,7.767490909,0.233009091,-0.038472727,-0.329909091,0.563636364,137.5842727,137.5842727,524.4545455,1431.636364,-0.584881818,4.255390909,8.609227273,0.234345455,-0.0438,-0.334463636
1,73.36363636,315.7,240.8,0.603409091,152.1465455,146.3215455,520.4545455,1436.454545,-0.887772727,4.321936364,7.648718182,0.243272727,-0.021736364,-0.287436364,0.572727273,137.5841909,137.5841909,520.3636364,1440.909091,-0.816745455,4.2462,8.6209,0.243427273,-0.021372727,-0.287736364
1,87.90909091,309.9,223.2,0.601136364,143.4090909,143.4091818,526.9090909,1444.454545,-0.463172727,4.301563636,7.764463636,0.231909091,-0.048381818,-0.341445455,0.601136364,143.4091818,143.4091818,526.9090909,1444.454545,-0.452254545,4.298590909,8.567245455,0.233590909,-0.053718182,-0.345154545
2,115.7272727,396.4,275.7,0.580681818,140.4967273,140.4967273,536.7272727,1456.636364,0.427472727,6.317336364,6.439190909,0.147281818,-0.330809091,-0.827409091,0.585227273,140.4967273,140.4967273,536.7272727,1465.181818,0.444918182,6.396827273,7.007581818,0.147463636,-0.330863636,-0.827109091
2,127.2727273,548.1,418.1,0.565909091,137.5842727,125.9344545,533.6363636,1457.090909,0.416472727,6.718763636,6.047381818,0.123954545,-0.367318182,-0.854081818,0.560227273,125.9344545,125.9344545,533.6363636,1453.454545,0.442681818,6.791690909,6.630863636,0.1242,-0.367109091,-0.854127273
2,123.3636364,500.2,376.2,0.575,123.022,125.9344545,532.3636364,1457.545455,0.455172727,6.4695,6.318918182,0.139890909,-0.343709091,-0.836154545,0.572727273,125.9344545,125.9344545,532.2727273,1455.909091,0.465536364,6.536554545,6.861909091,0.139945455,-0.344227273,-0.835954545
3,67.09090909,563.6,496.5,0.5875,128.8469091,128.8469091,508.9090909,1441.454545,0.121672727,6.296363636,6.337290909,0.299027273,0.190990909,0.517945455,0.542045455,120.1095545,120.1095545,508.2727273,1437.363636,0.103990909,6.321145455,7.2043,0.299581818,0.191054545,0.517918182
3,74.09090909,427.3,355.1,0.659090909,149.2338182,181.2705455,550.3636364,1436.090909,-2.015945455,8.333309091,3.8615,0.298754545,0.408427273,0.596072727,0.610227273,163.7959091,163.7959091,550.5454545,1445.363636,-1.597554545,8.794681818,3.4597,0.297527273,0.409745455,0.594963636
3,72.72727273,492,421.3,0.628409091,178.3580909,157.971,552.8181818,1449,-1.865009091,8.671772727,3.548472727,0.270818182,0.465163636,0.623245455,0.6125,155.0585455,155.0585455,553,1450.454545,-1.846618182,8.8915,3.167463636,0.270936364,0.465572727,0.623363636
4,68.63636364,334.8,266.1,0.630681818,149.2339091,160.8837273,483.1818182,1467.454545,0.185990909,6.287672727,6.718490909,0.334054545,0.107581818,0.308145455,0.606818182,152.1464545,152.1464545,483,1463.909091,0.199590909,6.224463636,7.556663636,0.333409091,0.107881818,0.308218182
4,69,363.6,292.8,0.630681818,163.7960909,157.9712727,490.7272727,1449.181818,0.0098,5.795236364,6.8201,0.298036364,0.099672727,0.308309091,0.576136364,143.4090909,143.4090909,489.8181818,1446.272727,0.032727273,5.7529,7.713072727,0.298118182,0.100690909,0.307863636
4,64.90909091,294,227.6,0.638636364,157.9712727,163.7960909,493.9090909,1448.090909,0.324218182,6.206036364,6.579154545,0.328236364,0.099,0.3094,0.602272727,149.2340909,149.2340909,493.2727273,1446.545455,0.311227273,6.165772727,7.582654545,0.328854545,0.099518182,0.309009091
5,102.6363636,344.5,242.4,0.569318182,155.0588182,128.8469091,482.4545455,1448.545455,0.592609091,1.774109091,8.314563636,-0.0159,-0.096536364,-0.9773,0.511363636,125.9344636,125.9344636,480.9090909,1446.545455,0.733663636,1.828445455,9.008745455,-0.017745455,-0.097063636,-0.977009091
5,104.9090909,289.5,184.9,0.588636364,131.7593636,143.4091818,488.0909091,1447.363636,1.6266,1.727527273,8.187718182,-0.080690909,-0.1158,-0.972345455,0.569318182,137.5842727,137.5842727,487.0909091,1446.818182,1.735081818,1.879590909,8.9318,-0.080309091,-0.117218182,-0.972081818
5,91.45454545,287,193.9,0.589772727,143.4091818,140.4967273,487.9090909,1441.909091,1.241336364,1.691809091,8.2039,-0.041745455,-0.105272727,-0.9661,0.546590909,125.9344545,125.9344545,486.6363636,1446.181818,1.407027273,1.883072727,9.106490909,-0.043218182,-0.106581818,-0.9658
6,52.09090909,210.9,156,0.632954545,149.2339091,157.9711818,515.5454545,1452.272727,0.1599,6.241136364,6.676127273,0.321918182,0.111818182,0.339818182,0.618181818,152.1463636,152.1463636,515.4545455,1457.818182,0.142172727,6.1855,7.408890909,0.322581818,0.112727273,0.340581818
6,55.81818182,264.6,210.7,0.634090909,152.1463636,157.9712727,514.7272727,1459.909091,0.255136364,6.2158,6.821727273,0.321781818,0.107345455,0.333363636,0.629545455,157.9712727,157.9712727,514.6363636,1458,0.1441,6.248645455,7.164054545,0.321954545,0.107681818,0.333118182
6,61.27272727,398.1,336.5,0.635227273,166.7084545,163.796,523.0909091,1452.363636,0.144481818,6.026563636,6.8206,0.303972727,0.111845455,0.338427273,0.613636364,152.1465455,152.1465455,522.4545455,1453.909091,0.0905,6.029581818,7.476272727,0.305818182,0.110490909,0.337472727
7,62.36363636,517.1,453.4,0.595454545,152.1464545,140.4967273,564.7272727,1455.272727,-1.315390909,8.569727273,3.4913,0.369163636,0.377790909,0.486190909,0.561363636,128.8469182,128.8469182,564,1452,-1.910754545,8.5568,3.869854545,0.374527273,0.379154545,0.484027273
7,72.72727273,1060.9,990,0.605681818,137.5842727,143.4090909,548.0909091,1440.636364,-0.527145455,6.245736364,6.086554545,0.321436364,0.153954545,0.371445455,0.597727273,137.5842818,137.5842818,547.9090909,1442.363636,-0.660381818,6.373409091,6.664572727,0.318618182,0.151027273,0.370009091
7,64,506,441.4,0.5875,146.3215455,137.5842727,552.2727273,1455.363636,-1.280527273,8.023354545,4.682209091,0.3744,0.310354545,0.459754545,0.575,134.6718182,134.6718182,552.2727273,1458.909091,-1.588927273,8.108045455,4.621854545,0.380145455,0.309581818,0.4531
8,42.09090909,475.8,432.8,0.607954545,137.5842727,143.4090909,535.9090909,1450.181818,0.098209091,4.072581818,7.740445455,0.154445455,0.158036364,0.716818182,0.589772727,134.6718182,134.6718182,536.0909091,1439.454545,0.058318182,4.126627273,8.469109091,0.154054545,0.158363636,0.716872727
8,46.45454545,430.6,386.1,0.6125,143.4090909,149.2340909,546.3636364,1439.636364,0.121545455,3.927218182,7.871627273,0.152163636,0.149172727,0.719736364,0.585227273,134.6718182,134.6718182,546.2727273,1441.909091,0.128836364,3.976736364,8.589663636,0.1516,0.147454545,0.718836364
8,38.72727273,293.2,253.9,0.595454545,152.1465455,140.4967273,538.1818182,1439.090909,0.2256,3.808209091,7.813536364,0.148827273,0.1468,0.714763636,0.569318182,131.7593636,131.7593636,537.8181818,1435.727273,0.2493,3.858081818,8.466118182,0.149609091,0.1488,0.7157
9,77.18181818,361.5,285.8,0.584090909,137.5842727,140.4967273,520.9090909,1449.272727,-0.467590909,5.332272727,6.936609091,0.066990909,-0.285436364,-0.944690909,0.568181818,134.6718182,134.6718182,520.6363636,1458.090909,-0.455663636,5.329445455,7.888490909,0.068118182,-0.285527273,-0.944554545
9,83.72727273,279,195.2,0.593181818,140.4967273,140.4967273,544.2727273,1453.181818,-1.124690909,3.9534,7.652536364,0.215527273,-0.052590909,-0.499390909,0.572727273,134.6718182,134.6718182,543.3636364,1449.636364,-1.157436364,3.998545455,8.5079,0.217836364,-0.052927273,-0.499818182
9,72.09090909,805.3,734,0.584090909,140.4967273,143.4091818,520.7272727,1451.909091,-0.601272727,5.398690909,6.834945455,0.076936364,-0.287927273,-0.942972727,0.561363636,134.6718182,134.6718182,520.5454545,1453.727273,-0.722236364,5.492609091,7.695581818,0.077627273,-0.289172727,-0.942427273
10,55,294.8,237.6,0.581818182,140.4967273,128.8469091,481.2727273,1454.909091,0.547663636,6.555781818,6.285990909,0.364609091,-0.044663636,-0.030190909,0.559090909,123.0220091,123.0220091,481,1459,0.558036364,6.585427273,6.921218182,0.365536364,-0.043554545,-0.029272727
10,59.54545455,258.2,200.3,0.610227273,134.6718182,149.2340909,489.6363636,1448.545455,0.386090909,6.676727273,6.177618182,0.373309091,-0.032890909,-0.033536364,0.584090909,137.5842727,137.5842727,488.7272727,1449.363636,0.448090909,6.702181818,6.929281818,0.372663636,-0.032927273,-0.0338
10,47.09090909,315.2,269.3,0.598863636,146.3216364,137.5842727,467.9090909,1457.090909,0.364845455,6.771027273,6.231672727,0.379145455,-0.0322,-0.028318182,0.573863636,134.6718182,134.6718182,468,1451.090909,0.387145455,6.793327273,6.798518182,0.379354545,-0.032072727,-0.028545455
11,63.63636364,346.3,284.7,0.565909091,128.8469091,123.022,523.6363636,1456.454545,-0.331481818,6.4749,6.479381818,0.226418182,0.277618182,0.689690909,0.560227273,123.022,123.022,523.6363636,1459,-0.311554545,6.530345455,7.306836364,0.226363636,0.276472727,0.690609091
11,81.36363636,407.7,324.9,0.568181818,125.9344545,125.9344545,516.5454545,1454.545455,-0.044627273,6.7572,6.351736364,0.2437,0.287281818,0.698154545,0.55,123.0220091,123.0220091,516.3636364,1444,-0.046263636,6.798372727,7.217163636,0.243254545,0.287990909,0.698327273
11,62.72727273,342,279.6,0.577272727,128.8469091,123.0220182,515.1818182,1448.636364,-0.141890909,6.592854545,6.372136364,0.238009091,0.278754545,0.693663636,0.553409091,120.1095636,120.1095636,514.8181818,1453.454545,-0.0575,6.683654545,7.483754545,0.238254545,0.278854545,0.693563636
12,53.36363636,169.7,116.8,0.586363636,120.1095636,131.7593636,504.9090909,1451.090909,0.289163636,6.252463636,6.609990909,0.331145455,0.107954545,0.330754545,0.586363636,131.7593636,131.7593636,504.9090909,1453.181818,0.275927273,6.249790909,7.115963636,0.331763636,0.108681818,0.331809091
12,57.81818182,143,85.3,0.580681818,131.7593636,125.9344636,503.3636364,1462.636364,0.805281818,6.783590909,6.248581818,0.305727273,0.232863636,0.645018182,0.576136364,125.9344636,125.9344636,503.2727273,1465.181818,0.842336364,6.767963636,6.853281818,0.306327273,0.230627273,0.644072727
12,47.81818182,178.9,130.4,0.584090909,123.0220182,125.9344636,515.5454545,1457.181818,0.201281818,6.367436364,6.422845455,0.346572727,0.135036364,0.3483,0.584090909,125.9344636,125.9344636,515.5454545,1451.363636,0.150972727,6.292472727,6.905381818,0.348154545,0.135045455,0.348645455
13,64.27272727,309.5,242.1,0.592045455,134.6718182,143.4091818,513.6363636,1461,-0.820409091,7.023018182,5.886809091,0.128109091,0.368563636,0.829290909,0.592045455,143.4091818,143.4091818,513.6363636,1466.545455,-0.8046,6.980990909,6.634554545,0.128045455,0.368690909,0.829390909
13,61.81818182,184.3,122.2,0.590909091,143.4091818,137.5842727,504.9090909,1462.818182,-0.281790909,7.572136364,5.315054545,0.128927273,0.413245455,0.849354545,0.564772727,128.8469091,128.8469091,504.1818182,1458.454545,-0.326218182,7.531545455,5.979381818,0.129154545,0.413190909,0.849636364
13,60.27272727,163.9,104.3,0.593181818,137.5842727,143.4091818,510.2727273,1461.909091,-0.2164,7.525563636,5.325818182,0.135,0.410327273,0.841654545,0.588636364,137.5842727,137.5842727,510.1818182,1465.636364,-0.177563636,7.557009091,5.820445455,0.134718182,0.410909091,0.841736364
14,104.1818182,284.6,180,0.722727273,163.796,198.7448182,535.8181818,1454.727273,0.677945455,7.501436364,5.319690909,0.3971,0.177845455,0.460845455,0.677272727,181.2704545,181.2704545,532.1818182,1453.272727,0.5046,7.588036364,5.594772727,0.395509091,0.179145455,0.461718182
14,99.54545455,398.9,299.5,0.680681818,201.6572727,190.0076364,497.1818182,1460.818182,0.659190909,7.023527273,5.913563636,0.4,-0.006318182,0.055081818,0.645454545,169.6208182,169.6208182,495.9090909,1457.272727,0.653245455,7.097372727,6.7867,0.401745455,-0.003372727,0.056945455
14,99.63636364,308,207.5,0.706818182,184.1827273,192.92,528.1818182,1457,0.369190909,7.114272727,5.858227273,0.364681818,0.174545455,0.4398,0.673863636,175.4456364,175.4456364,527.7272727,1454.909091,0.2992,7.138990909,6.244481818,0.365636364,0.1724,0.438481818
15,57.36363636,331.8,277.1,0.584090909,169.6207273,137.5842727,522.0909091,1456.272727,1.171163636,6.545927273,6.497981818,0.245909091,-0.276845455,-0.582754545,0.543181818,125.9344545,125.9344545,521.1818182,1454.545455,1.103754545,6.542127273,6.9697,0.244327273,-0.278390909,-0.584327273
15,71.63636364,716.5,648.5,0.588636364,137.5842727,134.6718182,501.7272727,1449.727273,1.040136364,6.181,6.761390909,0.242472727,-0.247827273,-0.564045455,0.575,125.9344545,125.9344545,500.8181818,1452.545455,1.083227273,6.2556,7.496818182,0.2415,-0.247818182,-0.5642
15,64.90909091,648.5,584.6,0.575,134.6718182,131.7593636,500.0909091,1450.181818,0.851718182,6.134781818,6.735254545,0.243645455,-0.237881818,-0.5817,0.557954545,125.9344545,125.9344545,499.4545455,1448.363636,0.844009091,6.183190909,7.292127273,0.242845455,-0.2379,-0.582263636
16,66.54545455,366.3,303.1,0.576136364,128.8469091,125.9344545,532.6363636,1452.363636,0.414263636,6.177818182,6.781827273,0.096545455,-0.3245,-0.881690909,0.557954545,123.022,123.022,531.9090909,1451.090909,0.402827273,6.182127273,7.418427273,0.096354545,-0.324472727,-0.881736364
16,78.63636364,602.1,527.2,0.589772727,131.7593636,143.4091818,515.2727273,1455.636364,0.401154545,6.191181818,6.7283,0.101509091,-0.321681818,-0.8772,0.570454545,131.7593636,131.7593636,513.2727273,1456,0.434645455,6.2389,7.357836364,0.100918182,-0.323636364,-0.877036364
16,69.54545455,673.1,604.9,0.581818182,143.4091818,134.6718182,517.9090909,1452,0.410090909,6.013236364,6.878172727,0.110790909,-0.303109091,-0.871963636,0.552272727,128.8469091,128.8469091,516.7272727,1455,0.378590909,5.953536364,7.562054545,0.110118182,-0.304127273,-0.872218182
17,91.36363636,546.7,454.5,0.596590909,137.5842727,140.4967273,509.2727273,1439.727273,-0.315536364,6.811290909,5.895054545,0.278163636,0.276690909,0.618709091,0.572727273,134.6718273,134.6718273,509.0909091,1427.636364,-0.309463636,6.869572727,6.609572727,0.278527273,0.274972727,0.618090909
17,89.54545455,482.8,395.1,0.6,140.4967273,137.5842727,519.6363636,1419.636364,-0.201236364,6.806309091,6.132345455,0.276872727,0.273418182,0.622136364,0.581818182,134.6718182,134.6718182,519.5454545,1419.545455,-0.276036364,6.822645455,6.682309091,0.276872727,0.273418182,0.622136364
17,94.36363636,400,307,0.5875,131.7593636,128.8469091,515.6363636,1440.454545,-0.236972727,6.600772727,6.186418182,0.262854545,0.265390909,0.6242,0.576136364,125.9344545,125.9344545,515.6363636,1445.181818,-0.281163636,6.636745455,6.795354545,0.2628,0.2666,0.624781818
18,95.18181818,256.9,160.5,0.632954545,143.409,163.7960909,529.1818182,1439.636364,-0.973345455,6.678563636,5.9941,0.384272727,0.025945455,-0.071127273,0.580681818,146.3215455,146.3215455,528.5454545,1436.181818,-0.948327273,6.725281818,6.8901,0.3847,0.025972727,-0.070845455
18,95.63636364,369.3,270.8,0.617045455,157.9713636,152.1465455,504.1818182,1442.363636,-0.902663636,7.517718182,5.4068,0.4349,0.050181818,-0.005972727,0.593181818,146.3216364,146.3216364,503.8181818,1438.727273,-0.896263636,7.563009091,5.983781818,0.434363636,0.049909091,-0.005536364
18,88.81818182,299.7,212.1,0.619318182,152.1465455,152.1465455,499.9090909,1416.727273,-1.114863636,7.496063636,5.283318182,0.432727273,0.063572727,0.000881818,0.614772727,146.3216364,146.3216364,499.9090909,1417.909091,-1.095245455,7.569254545,6.005527273,0.432909091,0.063845455,0.000872727
19,76.54545455,422.6,345.9,0.617045455,152.1465455,155.059,514,1450.090909,0.891209091,6.151090909,6.799409091,0.064409091,0.3498,0.931754545,0.580681818,137.5842727,137.5842727,512.7272727,1446.363636,1.016645455,6.192627273,7.129445455,0.064309091,0.349681818,0.931781818
19,97.72727273,582.9,500.5,0.610227273,155.059,146.3216455,494,1439.272727,0.742818182,6.172263636,6.779081818,0.059354545,0.3569,0.928209091,0.567045455,131.7593636,131.7593636,494.7272727,1442.818182,0.872636364,6.189563636,7.193472727,0.058209091,0.356381818,0.928554545
19,76.45454545,384.8,308.2,0.619318182,143.4091909,152.1465455,532.5454545,1439.272727,1.306218182,6.027154545,7.029527273,0.093981818,0.337363636,0.931709091,0.581818182,128.8469091,128.8469091,530.8181818,1439.363636,1.390609091,6.095936364,7.127972727,0.093536364,0.336854545,0.931963636
20,73.90909091,303.9,229.3,0.582954545,146.3216364,131.7593636,508.9090909,1445.818182,0.149263636,7.221909091,5.948254545,0.367245455,0.175754545,0.413990909,0.542045455,128.8469091,128.8469091,508.3636364,1442.727273,0.131163636,7.250772727,6.646972727,0.3669,0.1758,0.414118182
20,88.90909091,284.4,192.4,0.581818182,137.5842727,134.6718182,518.5454545,1450.454545,0.092536364,7.238381818,5.947727273,0.363827273,0.180936364,0.414436364,0.567045455,131.7593636,131.7593636,518.4545455,1457.363636,0.0422,7.173645455,6.5616,0.363781818,0.180736364,0.414736364
20,75.18181818,219.5,144.3,0.603409091,140.4965455,149.2338182,518.6363636,1447.090909,-0.002445455,7.245318182,5.771181818,0.354645455,0.202836364,0.449072727,0.561363636,140.4965455,140.4965455,517.8181818,1448,-0.030190909,7.281054545,6.695490909,0.354954545,0.2031,0.448936364
21,69.36363636,402.4,335.2,0.604545455,146.3215455,146.3216364,563.6363636,1457.545455,-0.3648,6.842227273,5.892672727,0.331372727,0.205263636,0.4452,0.577272727,137.5842727,137.5842727,563.5454545,1457.545455,-0.284090909,6.866172727,6.637527273,0.330509091,0.204872727,0.445909091
21,62.36363636,236.4,171,0.601136364,143.4091818,140.4967273,533.9090909,1461.818182,-1.021590909,7.762436364,4.901918182,0.223,0.401909091,0.717363636,0.577272727,137.5842727,137.5842727,533.6363636,1462.636364,-1.024363636,7.7401,5.539509091,0.223509091,0.401,0.716718182
21,47.90909091,488.1,439.6,0.6,137.5842727,146.3216364,571.2727273,1457.818182,-0.033327273,7.028918182,5.788827273,0.347872727,0.204854545,0.454763636,0.6,146.3216364,146.3216364,571.2727273,1451.818182,-0.020209091,6.955081818,6.035381818,0.346854545,0.205627273,0.455790909
22,94.36363636,318,224.2,0.596590909,149.2340909,149.2340909,524.1818182,1439.545455,-0.465681818,5.710736364,6.774945455,0.046063636,0.318554545,0.923609091,0.592045455,146.3216364,146.3216364,524.1818182,1438.818182,-0.486036364,5.794818182,7.683281818,0.045436364,0.320572727,0.923054545
22,90.54545455,392.7,303,0.6,149.2340909,149.2340909,510.6363636,1439.636364,0.154509091,5.153645455,7.150472727,0.091554545,0.277009091,0.914854545,0.585227273,146.3216364,146.3216364,510.6363636,1442.090909,0.138536364,5.230554545,7.865190909,0.092227273,0.276881818,0.914681818
22,94.72727273,360,264.2,0.592045455,149.2340909,146.3216364,501.6363636,1446.181818,-0.659063636,5.733209091,6.687145455,0.073145455,-0.317290909,-0.9387,0.589772727,143.4091818,143.4091818,501.4545455,1443.727273,-0.497218182,5.8495,7.515554545,0.0727,-0.317909091,-0.938545455
23,60.45454545,794.4,732.9,0.636363636,157.9711818,166.7083636,532.7272727,1443.454545,-0.364736364,6.390872727,6.664063636,0.1877,-0.299663636,-0.817063636,0.628409091,157.9712727,157.9712727,532.4545455,1446.090909,-0.388309091,6.530790909,7.279845455,0.188090909,-0.300618182,-0.816518182
23,66.54545455,281.7,214.4,0.657954545,166.7083636,172.5331818,532.1818182,1449.545455,-0.526218182,6.076909091,6.645254545,0.188890909,-0.270581818,-0.820727273,0.647727273,163.7959091,163.7959091,532.0909091,1452.090909,-0.448318182,6.288854545,7.554045455,0.186018182,-0.273436364,-0.8209
23,66.63636364,195.9,129.2,0.654545455,172.5331818,166.7084545,524,1455.818182,-1.043654545,6.3312,6.546618182,0.298545455,-0.1766,-0.593418182,0.644318182,160.8837273,160.8837273,523.7272727,1459.545455,-0.976227273,6.380654545,7.121609091,0.3003,-0.175154545,-0.590963636
